obs,F182013_sum,F182013_mean,F152006_sum,F152006_mean,F152004_sum,F152004_mean,F162007_sum,F162007_mean,F152005_sum,F152005_mean,F152002_sum,F152002_mean,F142002_sum,F142002_mean,F182011_sum,F182011_mean,F182012_sum,F182012_mean,F152007_sum,F152007_mean,F162006_sum,F162006_mean,F162009_sum,F162009_mean,F162004_sum,F162004_mean,F142001_sum,F142001_mean,F142000_sum,F142000_mean,F101992_sum,F101992_mean,F182010_sum,F182010_mean,F142003_sum,F142003_mean,F121995_sum,F121995_mean,F152001_sum,F152001_mean,F152003_sum,F152003_mean,F162005_sum,F162005_mean,F152000_sum,F152000_mean,F162008_sum,F162008_mean
4517,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,61.0,61.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,63.0,63.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
4514,62.0,62.0,60.0,60.0,62.0,62.0,63.0,63.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,58.0,58.0,61.0,61.0,63.0,63.0,63.0,63.0,60.0,60.0,61.0,61.0,58.0,58.0,63.0,63.0,62.0,62.0,59.0,59.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0
4515,62.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,58.0,58.0,61.0,61.0,63.0,63.0,63.0,63.0,61.0,61.0,62.0,62.0,60.0,60.0,63.0,63.0,63.0,63.0,59.0,59.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0
9429,4.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0
9428,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,3.0,0.0,0.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
9421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,20.0,0,0,0,0,0,0,7.0,7.0,0,0,0,0,0,0,0,0,24.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9423,17.0,17.0,9.0,9.0,15.0,15.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,26.0,26.0,16.0,16.0,8.0,8.0,10.0,10.0,9.0,9.0,15.0,15.0,6.0,6.0,6.0,6.0,7.0,7.0,28.0,28.0,12.0,12.0,7.0,7.0,7.0,7.0,13.0,13.0,10.0,10.0,9.0,9.0,10.0,10.0
9422,20.0,20.0,10.0,10.0,15.0,15.0,13.0,13.0,11.0,11.0,12.0,12.0,9.0,9.0,27.0,27.0,19.0,19.0,8.0,8.0,11.0,11.0,10.0,10.0,14.0,14.0,7.0,7.0,7.0,7.0,7.0,7.0,27.0,27.0,15.0,15.0,7.0,7.0,8.0,8.0,12.0,12.0,11.0,11.0,9.0,9.0,11.0,11.0
9425,7.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,8.0,8.0,7.0,7.0,6.0,6.0,11.0,11.0,7.0,7.0,5.0,5.0,6.0,6.0,5.0,5.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,14.0,14.0,7.0,7.0,5.0,5.0,5.0,5.0,9.0,9.0,5.0,5.0,6.0,6.0,5.0,5.0
9424,12.0,12.0,6.0,6.0,10.0,10.0,8.0,8.0,10.0,10.0,8.0,8.0,9.0,9.0,19.0,19.0,11.0,11.0,7.0,7.0,8.0,8.0,9.0,9.0,13.0,13.0,5.0,5.0,4.0,4.0,6.0,6.0,20.0,20.0,9.0,9.0,6.0,6.0,6.0,6.0,12.0,12.0,7.0,7.0,8.0,8.0,7.0,7.0
9427,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0
9426,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,4.0,7.0,7.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,8.0,8.0,4.0,4.0,3.0,3.0,0.0,0.0,9.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0
5289,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,6.0,6.0,4.0,4.0,0.0,0.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0
5288,6.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,3.0,3.0,6.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
5281,5.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,9.0,9.0,6.0,6.0,4.0,4.0,4.0,4.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,10.0,10.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0
5280,6.0,6.0,3.0,3.0,3.0,3.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,11.0,11.0,8.0,8.0,4.0,4.0,4.0,4.0,11.0,11.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,11.0,11.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,3.0,3.0,6.0,6.0,8.0,8.0
5283,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0,6.0,7.0,7.0,4.0,4.0,0.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0
5282,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,7.0,7.0,5.0,5.0,3.0,3.0,4.0,4.0,7.0,7.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,7.0,7.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,6.0
5285,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,6.0,6.0,4.0,4.0,0.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0
5284,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,6.0,6.0,4.0,4.0,0.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0
5287,6.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,0.0,0.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0
5286,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0
7615,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,0.0,0.0,7.0,7.0,4.0,4.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,7.0,7.0,5.0,5.0
9025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
